course_id,tag
ATMO210,Undergraduate
ATMO215,Undergraduate
ATMO251,Undergraduate
ATMO285,Undergraduate
ATMO289,Undergraduate
ATMO291,Undergraduate
ATMO321,Advanced
ATMO324,Advanced
ATMO326,Advanced
ATMO335,Advanced
ATMO336,Advanced
ATMO352,Advanced
ATMO363,Advanced
ATMO370,Advanced
ATMO435,Advanced
ATMO441,Advanced
ATMO443,Advanced
ATMO444,Advanced
ATMO446,Advanced
ATMO455,Advanced
ATMO456,Advanced
ATMO459,Advanced
ATMO461,Advanced
ATMO463,Advanced
ATMO464,Advanced
ATMO484,Advanced
ATMO485,Advanced
ATMO489,Advanced
ATMO491,Advanced
ATTR201,Undergraduate
ATTR202,Undergraduate
ATTR301,Advanced
ATTR302,Advanced
BAEN201,Undergraduate
BAEN281,Undergraduate
BAEN284,Undergraduate
BAEN285,Undergraduate
BAEN289,Undergraduate
BAEN291,Undergraduate
BAEN301,Advanced
BAEN302,Advanced
BAEN320,Advanced
BAEN340,Advanced
BAEN354,Advanced
BAEN365,Advanced
BAEN366,Advanced
BAEN370,Advanced
BAEN375,Advanced
BAEN399,Advanced
BAEN401,Advanced
BAEN412,Advanced
BAEN414,Advanced
BAEN417,Advanced
BAEN420,Advanced
BAEN422,Advanced
BAEN427,Advanced
BAEN431,Advanced
BAEN432,Advanced
BAEN460,Advanced
BAEN464,Advanced
BAEN465,Advanced
BAEN468,Advanced
BAEN469,Advanced
BAEN471,Advanced
BAEN477,Advanced
BAEN479,Advanced
BAEN480,Advanced
BAEN481,Advanced
BAEN484,Advanced
BAEN485,Advanced
BAEN489,Advanced
BAEN491,Advanced
BEFB425,Advanced
BEFB426,Advanced
BEFB470,Advanced
BEFB472,Advanced
BEFB474,Advanced
BEFB476,Advanced
BEFB482,Advanced
BESC201,Undergraduate
BESC203,Undergraduate
BESC204,Undergraduate
BESC285,Undergraduate
BESC291,Undergraduate
BESC311,Advanced
BESC314,Advanced
BESC320,Advanced
BESC357,Advanced
BESC367,Advanced
BESC401,Advanced
BESC402,Advanced
BESC403,Advanced
BESC411,Advanced
BESC421,Advanced
BESC431,Advanced
BESC481,Advanced
BESC484,Advanced
BESC485,Advanced
BESC489,Advanced
BESC491,Advanced
BICH101,Undergraduate
BICH102,Undergraduate
BICH201,Undergraduate
BICH202,Undergraduate
BICH285,Undergraduate
BICH303,Advanced
BICH403,Advanced
BICH404,Advanced
BICH406,Advanced
BICH409,Advanced
BICH410,Advanced
BICH411,Advanced
BICH412,Advanced
BICH414,Advanced
BICH416,Advanced
BICH419,Advanced
BICH420,Advanced
BICH431,Advanced
BICH432,Advanced
BICH440,Advanced
BICH441,Advanced
BICH450,Advanced
BICH456,Advanced
BICH460,Advanced
BICH464,Advanced
BICH485,Advanced
BICH489,Advanced
BICH491,Advanced
BIMS101,Undergraduate
BIMS110,Undergraduate
BIMS120,Undergraduate
BIMS125,Undergraduate
BIMS201,Undergraduate
BIMS250,Undergraduate
BIMS289,Undergraduate
BIMS291,Undergraduate
BIMS301,Advanced
BIMS303,Advanced
BIMS320,Advanced
BIMS380,Advanced
BIMS402,Advanced
BIMS405,Advanced
BIMS421,Advanced
BIMS481,Advanced
BIMS484,Advanced
BIMS485,Advanced
BIMS489,Advanced
BIMS491,Advanced
BIMS499,Advanced
BIOL100,Undergraduate
BIOL101,Undergraduate
BIOL104,Undergraduate
BIOL107,Undergraduate
BIOL111,Undergraduate
BIOL112,Undergraduate
BIOL113,Undergraduate
BIOL206,Undergraduate
BIOL213,Undergraduate
BIOL214,Undergraduate
BIOL285,Undergraduate
BIOL289,Undergraduate
BIOL291,Undergraduate
BIOL302,Advanced
BIOL318,Advanced
BIOL319,Advanced
BIOL320,Advanced
BIOL335,Advanced
BIOL349,Advanced
BIOL350,Advanced
BIOL351,Advanced
BIOL352,Advanced
