2026-03-30 14:16:26,760 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from education (of 0 raw)
2026-03-30 14:16:26,761 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:26,761 | INFO     | tamu_crawler | Source education: 0 raw → 0 normalised events
2026-03-30 14:16:26,761 | INFO     | tamu_crawler | ━━━ Crawling source: geosciences (livewhale_json) ━━━
2026-03-30 14:16:26,761 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:27,657 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Geosciences
2026-03-30 14:16:27,766 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from geosciences (of 0 raw)
2026-03-30 14:16:27,766 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:27,766 | INFO     | tamu_crawler | Source geosciences: 0 raw → 0 normalised events
2026-03-30 14:16:27,766 | INFO     | tamu_crawler | ━━━ Crawling source: health (livewhale_json) ━━━
2026-03-30 14:16:27,767 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:28,658 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/School%20of%20Public%20Health
2026-03-30 14:16:28,770 | INFO     | tamu_crawler.parsers.livewhale | Parsed 13 events from health (of 13 raw)
2026-03-30 14:16:28,849 | DEBUG    | tamu_crawler.food_detector | Food detected (0.45, dinner, 1 cues): SPH Annual Recognition and Awards Banquet — medium_keyword:banquet
2026-03-30 14:16:28,856 | DEBUG    | tamu_crawler.food_detector | Food detected (0.95, breakfast, 1 cues): Staff Appreciation Breakfast — high_keyword:breakfast
2026-03-30 14:16:28,860 | INFO     | tamu_crawler.normalizer | Normalised 13 events from 13 raw (filtered 0)
2026-03-30 14:16:28,860 | INFO     | tamu_crawler | Source health: 13 raw → 13 normalised events
2026-03-30 14:16:28,860 | INFO     | tamu_crawler | ━━━ Crawling source: architecture (livewhale_json) ━━━
